ID,AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,VEHICLE_TYPE,PAST_ACCIDENTS,OUTCOME
569520,65+,female,0-9y,high school,upper class,1.0,after 2015,0.0,1.0,12000.0,sedan,0,0.0
750365,16-25,male,0-9y,none,poverty,0.0,before 2015,0.0,0.0,16000.0,sedan,0,1.0
199901,16-25,female,0-9y,high school,working class,1.0,before 2015,0.0,0.0,11000.0,sedan,0,0.0
478866,16-25,male,0-9y,university,working class,1.0,before 2015,0.0,1.0,11000.0,sedan,0,0.0
731664,26-39,male,10-19y,none,working class,1.0,before 2015,0.0,0.0,12000.0,sedan,1,1.0
877557,40-64,female,20-29y,high school,upper class,1.0,after 2015,0.0,1.0,13000.0,sedan,3,0.0
930134,65+,male,30y+,high school,upper class,0.0,after 2015,1.0,1.0,13000.0,sedan,3,0.0
461006,26-39,female,0-9y,university,working class,0.0,after 2015,0.0,1.0,14000.0,sedan,0,1.0
68366,40-64,female,20-29y,university,working class,0.0,before 2015,1.0,0.0,13000.0,sedan,0,0.0
445911,40-64,female,0-9y,high school,upper class,1.0,before 2015,0.0,1.0,11000.0,sedan,0,1.0
275820,65+,male,30y+,high school,upper class,1.0,after 2015,1.0,1.0,10000.0,sedan,7,0.0
521399,65+,female,30y+,high school,upper class,1.0,after 2015,1.0,0.0,12000.0,sedan,0,0.0
429728,40-64,male,20-29y,high school,upper class,1.0,before 2015,1.0,1.0,8000.0,sedan,2,0.0
569640,16-25,female,0-9y,university,upper class,1.0,before 2015,0.0,1.0,,sedan,0,0.0
980181,26-39,male,10-19y,high school,middle class,1.0,before 2015,1.0,1.0,12000.0,sedan,1,0.0
906223,26-39,female,0-9y,high school,upper class,0.0,after 2015,1.0,0.0,,sedan,0,0.0
517747,65+,male,30y+,university,upper class,1.0,before 2015,1.0,1.0,,sedan,1,0.0
24851,16-25,male,0-9y,none,poverty,0.0,before 2015,1.0,0.0,12000.0,sedan,0,1.0
104086,26-39,female,0-9y,university,upper class,1.0,before 2015,0.0,1.0,,sedan,0,1.0
240658,16-25,female,0-9y,high school,working class,1.0,before 2015,0.0,1.0,18000.0,sedan,0,1.0
484399,16-25,female,0-9y,high school,working class,0.0,before 2015,0.0,0.0,17000.0,sedan,0,1.0
912828,16-25,male,0-9y,high school,middle class,1.0,after 2015,,1.0,8000.0,,0,1.0
892754,40-64,male,20-29y,none,poverty,1.0,before 2015,1.0,1.0,13000.0,sedan,1,0.0
217,16-25,male,0-9y,none,poverty,0.0,before 2015,0.0,0.0,17000.0,,0,0.0
633896,65+,male,30y+,high school,upper class,1.0,before 2015,1.0,1.0,7000.0,sedan,3,0.0
193110,26-39,female,10-19y,university,middle class,1.0,before 2015,1.0,0.0,14000.0,sports car,0,0.0
98515,40-64,male,10-19y,high school,middle class,1.0,before 2015,0.0,0.0,13000.0,sedan,0,0.0
165623,26-39,male,10-19y,none,poverty,1.0,before 2015,1.0,0.0,15000.0,sedan,1,0.0
493590,26-39,male,10-19y,university,middle class,0.0,after 2015,,0.0,17000.0,sedan,1,0.0
