ID,AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,VEHICLE_TYPE,PAST_ACCIDENTS,OUTCOME
569520,65+,female,0-9y,high school,upper class,1.0,after 2015,0.0,1.0,12000.0,sedan,0,No claim
750365,16-25,male,0-9y,none,poverty,0.0,before 2015,0.0,0.0,16000.0,sedan,0,Claim
199901,16-25,female,0-9y,high school,working class,1.0,before 2015,0.0,0.0,11000.0,sedan,0,No claim
478866,16-25,male,0-9y,university,working class,1.0,before 2015,0.0,1.0,11000.0,sedan,0,No claim
731664,26-39,male,10-19y,none,working class,1.0,before 2015,0.0,0.0,12000.0,sedan,1,Claim
877557,40-64,female,20-29y,high school,upper class,1.0,after 2015,0.0,1.0,13000.0,,3,No claim
930134,65+,male,30y+,high school,upper class,0.0,after 2015,1.0,1.0,13000.0,sedan,3,No claim
461006,26-39,female,0-9y,university,working class,0.0,after 2015,0.0,1.0,14000.0,sedan,0,Claim
68366,40-64,female,20-29y,university,working class,0.0,before 2015,1.0,0.0,13000.0,sedan,0,No claim
445911,40-64,female,0-9y,high school,upper class,1.0,before 2015,0.0,1.0,11000.0,sedan,0,Claim
275820,65+,male,30y+,high school,upper class,1.0,after 2015,1.0,1.0,10000.0,sedan,7,No claim
521399,65+,female,30y+,high school,upper class,1.0,after 2015,1.0,0.0,12000.0,sedan,0,No claim
429728,40-64,male,20-29y,high school,upper class,1.0,before 2015,,1.0,8000.0,sedan,2,No claim
569640,16-25,female,0-9y,university,upper class,1.0,before 2015,0.0,1.0,,sedan,0,No claim
980181,26-39,male,10-19y,high school,middle class,1.0,before 2015,1.0,1.0,12000.0,sedan,1,No claim
906223,26-39,female,0-9y,high school,upper class,0.0,after 2015,1.0,0.0,,sedan,0,No claim
517747,65+,male,30y+,university,upper class,1.0,before 2015,1.0,1.0,,sedan,1,No claim
24851,16-25,male,0-9y,none,poverty,0.0,before 2015,1.0,0.0,12000.0,sedan,0,Claim
104086,26-39,female,0-9y,university,upper class,1.0,before 2015,0.0,1.0,,sedan,0,Claim
240658,16-25,female,0-9y,high school,working class,1.0,before 2015,0.0,1.0,18000.0,sedan,0,Claim
484399,16-25,female,0-9y,high school,working class,0.0,before 2015,0.0,0.0,17000.0,sedan,0,Claim
912828,16-25,male,0-9y,high school,middle class,1.0,after 2015,1.0,1.0,8000.0,sedan,0,Claim
892754,40-64,male,20-29y,none,poverty,1.0,before 2015,1.0,1.0,13000.0,sedan,1,No claim
217,16-25,male,0-9y,none,poverty,0.0,before 2015,0.0,0.0,17000.0,,0,No claim
633896,65+,male,30y+,high school,upper class,1.0,before 2015,1.0,1.0,7000.0,sedan,3,No claim
193110,26-39,female,10-19y,university,middle class,1.0,before 2015,1.0,0.0,14000.0,sports car,0,No claim
98515,40-64,male,10-19y,high school,middle class,1.0,before 2015,0.0,0.0,13000.0,,0,No claim
165623,26-39,male,10-19y,none,poverty,1.0,before 2015,1.0,0.0,15000.0,sedan,1,No claim
493590,26-39,male,10-19y,university,middle class,0.0,after 2015,0.0,0.0,17000.0,sedan,1,No claim
389792,65+,male,0-9y,university,upper class,1.0,after 2015,1.0,1.0,9000.0,sedan,0,Claim
642614,40-64,male,20-29y,high school,middle class,1.0,after 2015,1.0,1.0,7000.0,sedan,1,No claim
951465,65+,female,30y+,university,upper class,1.0,before 2015,1.0,1.0,10000.0,sedan,1,No claim
496987,16-25,male,0-9y,none,poverty,1.0,before 2015,1.0,1.0,9000.0,sedan,0,No claim
732437,16-25,male,0-9y,none,poverty,1.0,before 2015,0.0,1.0,10000.0,sedan,0,Claim
146897,26-39,female,0-9y,high school,middle class,1.0,before 2015,1.0,1.0,11000.0,sedan,0,Claim
316173,16-25,male,0-9y,university,working class,0.0,after 2015,0.0,0.0,8000.0,sedan,0,Claim
9013,26-39,male,10-19y,high school,working class,1.0,before 2015,0.0,1.0,17000.0,sedan,2,No claim
511757,40-64,female,10-19y,none,middle class,1.0,before 2015,1.0,1.0,11000.0,sedan,1,No claim
429947,65+,male,30y+,university,upper class,0.0,after 2015,0.0,1.0,12000.0,sports car,5,No claim
485660,40-64,male,10-19y,university,upper class,1.0,before 2015,0.0,1.0,14000.0,sedan,1,No claim
80496,65+,male,30y+,high school,upper class,1.0,before 2015,1.0,1.0,10000.0,sedan,3,No claim
478336,40-64,male,20-29y,university,upper class,1.0,after 2015,,1.0,16000.0,sedan,2,No claim
10843,40-64,male,20-29y,university,upper class,0.0,after 2015,1.0,1.0,9000.0,sedan,0,No claim
397446,16-25,male,0-9y,none,poverty,0.0,before 2015,0.0,0.0,16000.0,sedan,0,Claim
101678,26-39,female,10-19y,high school,poverty,0.0,before 2015,0.0,1.0,13000.0,sedan,0,Claim
231661,40-64,male,20-29y,high school,middle class,0.0,before 2015,0.0,0.0,14000.0,sports car,4,No claim
173782,65+,male,20-29y,high school,upper class,1.0,after 2015,1.0,1.0,7000.0,sedan,5,No claim
921097,40-64,female,20-29y,university,upper class,1.0,after 2015,1.0,1.0,11000.0,sedan,2,No claim
98839,26-39,female,10-19y,university,working class,1.0,before 2015,0.0,1.0,12000.0,,0,No claim
105372,26-39,female,10-19y,none,working class,0.0,before 2015,0.0,1.0,14000.0,sedan,0,No claim
888828,40-64,male,20-29y,university,upper class,1.0,before 2015,1.0,0.0,14000.0,sedan,2,No claim
37454,26-39,female,0-9y,high school,working class,0.0,before 2015,0.0,0.0,17000.0,sedan,0,Claim
370044,65+,male,20-29y,university,upper class,0.0,after 2015,1.0,1.0,7000.0,sedan,1,No claim
768282,16-25,female,0-9y,university,working class,0.0,before 2015,1.0,1.0,8000.0,sedan,0,Claim
738729,16-25,female,0-9y,none,working class,1.0,before 2015,1.0,1.0,7000.0,sedan,0,Claim
437535,26-39,female,10-19y,high school,middle class,1.0,after 2015,1.0,0.0,15000.0,sedan,0,No claim
329536,16-25,female,0-9y,high school,poverty,0.0,before 2015,0.0,0.0,9000.0,sedan,0,Claim
328531,40-64,female,20-29y,university,middle class,0.0,after 2015,0.0,1.0,12000.0,sedan,1,No claim
123941,40-64,female,20-29y,university,middle class,1.0,after 2015,1.0,1.0,,sedan,0,No claim
131881,26-39,male,10-19y,university,working class,1.0,before 2015,0.0,0.0,16000.0,sedan,0,No claim
839572,40-64,male,20-29y,high school,working class,0.0,before 2015,1.0,1.0,12000.0,sedan,1,No claim
171578,26-39,male,10-19y,university,upper class,1.0,before 2015,1.0,1.0,8000.0,sedan,1,No claim
589757,40-64,female,20-29y,high school,upper class,1.0,before 2015,1.0,1.0,7000.0,sedan,0,No claim
